Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,159.4866,-229.5652,90,top
C2,2.2u,C_0402_1005Metric,158.4198,-229.5652,90,top
C3,100n,C_0402_1005Metric,150.9268,-235.5342,0,top
C4,100n,C_0402_1005Metric,139.7,-237.5408,180,top
C5,2.2u,C_0402_1005Metric,150.368,-238.4298,0,top
C6,100n,C_0402_1005Metric,139.8524,-236.4994,180,top
C7,100n,C_0402_1005Metric,144.1704,-241.3762,-90,top
C8,100n,C_0402_1005Metric,147.8534,-231.0384,90,top
C9,100n,C_0402_1005Metric,144.1704,-231.0384,90,top
C10,100n,C_0402_1005Metric,147.7518,-241.4016,-90,top
C11,100n,C_0402_1005Metric,150.3934,-236.601,0,top
C12,100n,C_0402_1005Metric,150.3706,-239.4966,0,top
C13,2.2u,C_0402_1005Metric,148.8186,-241.4016,-90,top
C14,2.2u,C_0402_1005Metric,150.3706,-240.538,0,top
C15,12pF,C_0402_1005Metric,135.636,-231.1146,180,top
C16,12pF,C_0402_1005Metric,135.6106,-236.6518,0,top
C17,1u,C_0402_1005Metric,78.359,-220.5736,-90,top
C18,1u,C_0402_1005Metric,84.0232,-219.8878,-90,top
C19,100u,C_1206_3216Metric,65.532,-239.9284,180,top
C20,100u,C_1206_3216Metric,65.5066,-237.3122,180,top
C21,100n,C_0402_1005Metric,90.9066,-225.143,90,top
C22,100u,C_1206_3216Metric,79.2988,-247.5992,180,top
C23,100u,C_1206_3216Metric,93.5736,-244.2737,180,top
C24,100n,C_0402_1005Metric,115.8494,-229.7176,180,top
C25,100n,C_0402_1005Metric,93.9546,-239.7506,180,top
C26,100u,C_1206_3216Metric,100.8888,-240.2586,90,top
C27,2.4n,C_0603_1608Metric,109.4232,-230.8606,180,top
C28,100n,C_0402_1005Metric,85.7504,-239.1664,180,top
C29,1n,C_0402_1005Metric,110.7186,-234.8738,90,top
C30,100u,C_1206_3216Metric,84.9884,-236.1184,0,top
C31,47n,C_0402_1005Metric,124.1298,-236.1692,-90,top
C32,1n,C_0402_1005Metric,122.8598,-236.1692,90,top
C33,100n,C_0402_1005Metric,174.7582,-247.9756,90,top
C34,100n,C_0402_1005Metric,56.3906,-25.030471,0,top
C35,100n,C_0402_1005Metric,56.3906,-35.849793,0,top
C36,100n,C_0402_1005Metric,56.3906,-47.126941,0,top
C37,100n,C_0402_1005Metric,56.3906,-58.175176,0,top
C38,100n,C_0402_1005Metric,56.3906,-69.215,0,top
C39,100n,C_0402_1005Metric,56.3906,-80.271646,0,top
C40,100n,C_0402_1005Metric,56.3906,-91.319881,0,top
C41,100n,C_0402_1005Metric,56.3906,-102.362,0,top
C42,100n,C_0402_1005Metric,56.3906,-113.411,0,top
C43,100n,C_0402_1005Metric,56.3906,-124.464586,0,top
C44,100n,C_0402_1005Metric,56.3906,-135.365431,0,top
C45,100n,C_0402_1005Metric,56.3906,-146.558,0,top
