Comment,Designator,Footprint,LCSC
1k,"R2,R29,R30,R31,R32,R33,R6",R_0402_1005Metric,C11702
2.2u,"C13,C14,C2,C5",C_0402_1005Metric,C12530
10.5k,R20,R_0805_2012Metric,C139933
100k,"R10,R13,R21,R9",R_0805_2012Metric,C149504
100u,"C19,C20,C22,C23,C26,C30",C_1206_3216Metric,C15008
1n,"C29,C32",C_0402_1005Metric,C1523
12pF,"C15,C16",C_0402_1005Metric,C1547
10u,C548,C_0402_1005Metric,C15525
Barrel_Jack_Switch,J6,BarrelJack_GCT_DCJ200-10-A_Horizontal,C16214
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
MCP41010,U5,SOIC-8_3.9x4.9mm_P1.27mm,C17064
0,"R24,R25,R37,R38,R39",R_0402_1005Metric,C17168
1.2k,R23,R_0805_2012Metric,C17379
10k,R16,R_0805_2012Metric,C17414
1k,"R14,R15,R18,R22",R_0805_2012Metric,C17513
2.2k,"R11,R8",R_0805_2012Metric,C17520
470,R17,R_0805_2012Metric,C17710
8.2k,R19,R_0805_2012Metric,C17828
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
LED,"D1,D2,D3,D4,D5",LED_0805_2012Metric,C2297
27,"R12,R35,R4,R5",R_0402_1005Metric,C25100
10k,"R28,R3,R36,R7",R_0402_1005Metric,C25744
5.1k,"R26,R27",R_0402_1005Metric,C25905
47n,C31,C_0402_1005Metric,C272875
WS2812B,"D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D13,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D14,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D15,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D16,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D17,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D18,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D19,D190",WS2812B_GABE,C2843785
